id,Year_of_Release,Platform,Total_Sales
353,1999,NES,0
354,2000,NES,0
355,2001,NES,0
356,2002,NES,0
357,2003,NES,0
358,2004,NES,0
359,2005,NES,0
360,2006,NES,0
361,2007,NES,0
362,2008,NES,0
363,2009,NES,0
364,2010,NES,0
365,2011,NES,0
366,2012,NES,0
367,2013,NES,0
368,2014,NES,0
369,2015,NES,0
370,2016,NES,0
371,1980,PC,0
372,1981,PC,0
373,1982,PC,0
374,1983,PC,0
375,1984,PC,0
376,1985,PC,0.04
377,1986,PC,0
378,1987,PC,0
379,1988,PC,0.03
380,1989,PC,0
381,1990,PC,0
382,1991,PC,0
383,1992,PC,3.03
384,1993,PC,0
385,1994,PC,12.87
386,1995,PC,4.22
387,1996,PC,10.58
388,1997,PC,11.27
389,1998,PC,3.26
390,1999,PC,4.74
391,2000,PC,4.66
392,2001,PC,5.47
393,2002,PC,8.57
394,2003,PC,8.84
395,2004,PC,10.39
396,2005,PC,4.37
397,2006,PC,2.85
398,2007,PC,9.28
399,2008,PC,12.42
400,2009,PC,16.91
401,2010,PC,24.28
402,2011,PC,35.03
403,2012,PC,23.22
404,2013,PC,12.38
405,2014,PC,13.28
406,2015,PC,8.52
407,2016,PC,5.25
408,1980,PS,0
409,1981,PS,0
410,1982,PS,0
411,1983,PS,0
412,1984,PS,0
413,1985,PS,0
414,1986,PS,0
415,1987,PS,0
416,1988,PS,0
417,1989,PS,0
418,1990,PS,0
419,1991,PS,0
420,1992,PS,0
421,1993,PS,0
422,1994,PS,6.03
423,1995,PS,35.96
424,1996,PS,94.7
425,1997,PS,136.17
426,1998,PS,169.49
427,1999,PS,144.53
428,2000,PS,96.37
429,2001,PS,35.59
430,2002,PS,6.67
431,2003,PS,2.07
432,2004,PS,0
433,2005,PS,0
434,2006,PS,0
435,2007,PS,0
436,2008,PS,0
437,2009,PS,0
438,2010,PS,0
439,2011,PS,0
440,2012,PS,0
441,2013,PS,0
442,2014,PS,0
443,2015,PS,0
444,2016,PS,0
445,1980,PS2,0
446,1981,PS2,0
447,1982,PS2,0
448,1983,PS2,0
449,1984,PS2,0
450,1985,PS2,0
451,1986,PS2,0
452,1987,PS2,0
453,1988,PS2,0
454,1989,PS2,0
455,1990,PS2,0
456,1991,PS2,0
457,1992,PS2,0
458,1993,PS2,0
459,1994,PS2,0
460,1995,PS2,0
461,1996,PS2,0
462,1997,PS2,0
463,1998,PS2,0
464,1999,PS2,0
465,2000,PS2,39.17
466,2001,PS2,166.43
467,2002,PS2,205.38
468,2003,PS2,184.31
469,2004,PS2,211.81
470,2005,PS2,160.66
471,2006,PS2,103.42
472,2007,PS2,75.99
473,2008,PS2,53.9
474,2009,PS2,26.4
475,2010,PS2,5.64
476,2011,PS2,0.45
477,2012,PS2,0
478,2013,PS2,0
479,2014,PS2,0
480,2015,PS2,0
481,2016,PS2,0
482,1980,PS3,0
483,1981,PS3,0
484,1982,PS3,0
485,1983,PS3,0
486,1984,PS3,0
487,1985,PS3,0
488,1986,PS3,0
489,1987,PS3,0
490,1988,PS3,0
491,1989,PS3,0
492,1990,PS3,0
493,1991,PS3,0
494,1992,PS3,0
495,1993,PS3,0
496,1994,PS3,0
497,1995,PS3,0
498,1996,PS3,0
499,1997,PS3,0
500,1998,PS3,0
501,1999,PS3,0
502,2000,PS3,0
503,2001,PS3,0
504,2002,PS3,0
505,2003,PS3,0
506,2004,PS3,0
507,2005,PS3,0
508,2006,PS3,20.96
509,2007,PS3,73.19
510,2008,PS3,118.52
511,2009,PS3,130.93
512,2010,PS3,142.17
513,2011,PS3,156.78
514,2012,PS3,107.36
515,2013,PS3,113.25
516,2014,PS3,47.76
517,2015,PS3,16.82
518,2016,PS3,3.6
519,1980,PS4,0
520,1981,PS4,0
521,1982,PS4,0
522,1983,PS4,0
523,1984,PS4,0
524,1985,PS4,0
525,1986,PS4,0
526,1987,PS4,0
527,1988,PS4,0
528,1989,PS4,0
529,1990,PS4,0
530,1991,PS4,0
531,1992,PS4,0
532,1993,PS4,0
533,1994,PS4,0
534,1995,PS4,0
535,1996,PS4,0
536,1997,PS4,0
537,1998,PS4,0
538,1999,PS4,0
539,2000,PS4,0
540,2001,PS4,0
541,2002,PS4,0
542,2003,PS4,0
543,2004,PS4,0
544,2005,PS4,0
545,2006,PS4,0
546,2007,PS4,0
547,2008,PS4,0
548,2009,PS4,0
549,2010,PS4,0
550,2011,PS4,0
551,2012,PS4,0
552,2013,PS4,25.99
553,2014,PS4,100
554,2015,PS4,118.9
555,2016,PS4,69.25
556,1980,PSP,0
557,1981,PSP,0
558,1982,PSP,0
559,1983,PSP,0
560,1984,PSP,0
561,1985,PSP,0
562,1986,PSP,0
563,1987,PSP,0
564,1988,PSP,0
565,1989,PSP,0
566,1990,PSP,0
567,1991,PSP,0
568,1992,PSP,0
569,1993,PSP,0
570,1994,PSP,0
571,1995,PSP,0
572,1996,PSP,0
573,1997,PSP,0
574,1998,PSP,0
575,1999,PSP,0
576,2000,PSP,0
577,2001,PSP,0
578,2002,PSP,0
579,2003,PSP,0
580,2004,PSP,7.06
581,2005,PSP,43.84
582,2006,PSP,55.32
583,2007,PSP,46.93
584,2008,PSP,34.55
585,2009,PSP,37.78
586,2010,PSP,35.04
587,2011,PSP,17.82
588,2012,PSP,7.69
589,2013,PSP,3.14
590,2014,PSP,0.24
591,2015,PSP,0.12
592,2016,PSP,0
593,1980,PSV,0
594,1981,PSV,0
595,1982,PSV,0
596,1983,PSV,0
597,1984,PSV,0
598,1985,PSV,0
599,1986,PSV,0
600,1987,PSV,0
601,1988,PSV,0
602,1989,PSV,0
603,1990,PSV,0
604,1991,PSV,0
605,1992,PSV,0
606,1993,PSV,0
607,1994,PSV,0
608,1995,PSV,0
609,1996,PSV,0
610,1997,PSV,0
611,1998,PSV,0
612,1999,PSV,0
613,2000,PSV,0
614,2001,PSV,0
615,2002,PSV,0
616,2003,PSV,0
617,2004,PSV,0
618,2005,PSV,0
619,2006,PSV,0
620,2007,PSV,0
621,2008,PSV,0
622,2009,PSV,0
623,2010,PSV,0
624,2011,PSV,4.63
625,2012,PSV,16.19
626,2013,PSV,10.59
627,2014,PSV,11.9
628,2015,PSV,6.25
629,2016,PSV,4.25
630,1980,SAT,0
631,1981,SAT,0
632,1982,SAT,0
633,1983,SAT,0
634,1984,SAT,0
635,1985,SAT,0
636,1986,SAT,0
637,1987,SAT,0
638,1988,SAT,0
639,1989,SAT,0
640,1990,SAT,0
641,1991,SAT,0
642,1992,SAT,0
643,1993,SAT,0
644,1994,SAT,3.65
645,1995,SAT,11.57
646,1996,SAT,7.69
647,1997,SAT,6.77
648,1998,SAT,3.82
649,1999,SAT,0.09
650,2000,SAT,0
651,2001,SAT,0
652,2002,SAT,0
653,2003,SAT,0
654,2004,SAT,0
655,2005,SAT,0
656,2006,SAT,0
657,2007,SAT,0
